Project ID,Project Leader,Project Title,Fellowship recipient,Fellowshiptype
DI0347284,"Maynard, J",The Aboriginal Fight for Liberty and Freedom - The hidden history of African-American influence on the 1920s rise of Aboriginal political activism.,Mr J Maynard,RC-ATSI
DI0453648,"Matthews, C",Modelling of coupled heat and water flow through layered soils with an extension to heat flow through granulated soils,Dr CJ Matthews,RC-ATSI
DI0560757,"Bellingham, S",Identification and Characterisation of Genes involved in the Copper Regulation of the Human Alzheimer's Disease Amyloid-Beta Precursor Protein (APP) Gene,Mr SA Bellingham,RC-ATSI
DI0560958,"Leslie, D",Spiritual Journeying and Cross- culturalism: The Art of Tim Johnson,Dr D Leslie,RC-ATSI
DI0667638,"Jager, C",Brassinosteroids and Water Stresses,Ms CE Jager,RC-ATSI
DI0775808,"Adams, K",Preventative health interventions for Indigenous children less than six years of age.,Ms K Adams,RC-ATSI
DI0775822,"Gumbula, J",Elder Assessments of Early Material Culture Collections from Arnhem Land and Contemporary Access Needs to Them among Their Source Communities,Mr JN Gumbula,RC-ATSI
DI0882245,"Judd, B",Reconciliation game: Australian Football in the new South Africa,Mr BA Judd,RC-ATSI
DI0882472,"Bodkin-Andrews, G",Bubalamai Bawa Gumada. Healing the Wounds of the Heart: A Research-Based Intervention Diminishing the Impact of Racism and Stereotype Threat,Mr GH Bodkin-Andrews,RC-ATSI
DI0882568,"Grieves, V",Internecine conflict and violence in NSW Aboriginal communities: an historicised assessment of governance and social control,Ms VL Grieves,RC-ATSI
DI0882982,"Cripps, K",Building and supporting community led partnership initiatives to respond to Indigenous family violence in Victoria,Dr KA Cripps,RC-ATSI
DI0882986,"Hunter, C",The impact of climate change on the resilience of Australian marine systems: linking climate and ecosystem models ,Ms CM Hunter,RC-ATSI
DI0989294,"Faulkhead, S",Koorie archiving: Community and records working together,Ms S Faulkhead,IRF
DI100100014,Gumbula,'To wake them up again': Digital futures for the international diaspora of early ethnographic collections from Arnhem Land,Joseph N Gumbula,ARFI
DI100100113,Bodkin-Andrews,Wingara Mangami (to follow the dream of understanding): Seeding innovative intervention success to challenge and pracism for Inyouth,Gawaian H Bodkin-Andrews,ARFI
DI100100130,Hunter,"Developing predictive tools for rapid assessment of multiple impacts, including climate change, on the marine ecosystem of Torres Strait (Australia)",Cass M Hunter,IRF
DI100100158,Parker,"Climate change research:  Can Sydney rock oysters adapt to chronic multigenerational exposure to ocean acidification and temperature? 
",Laura M Parker,IRF
DI100100200,O'Sullivan,Reversing the gaze: Indigenous perspectives on cultural representation  in national museums,Sandy T O'Sullivan,IRF
DI110100011,Bainbridge,A whole-of-community approach to promoting engagement into education in a discrete Indigenous community: a mixed method study ,Roxanne G Bainbridge,IRF
DI110100019,Fletcher,Tracking the response of the Australian climate to abrupt climate change,Michael-Shawn Fletcher,IRF
DI110100034,Dillon,"Measurement matters: analysis of potential methodological and discrimination biases in assessments of medication treatments for ADHD, and stakeholder views",Anthony W Dillon,ARFI
DI110100037,Baker,Intersectoral collaboration and capacity building for better outcomes for Aboriginal people in Port Augusta,Jennifer Baker,IRF
DP0208030,"Cox, S",The Role of C-kit and Selected TGF beta Family Members in Recruitment,Dr S Cox,APD
DP0208038,"Brunckhorst, D",Institutional transitions to sustainable agriculture: An inter-disciplinary analysis of a novel common-property resource governance system,Mr G Marshall,APD
DP0208050,"Brooks, R",How sexually antagonistic genes and sexual selection influence the evolution of the Y chromosome.,Dr AK Lindholm,APD
DP0208052,"Hunt, J",Putting sexual selection in a life-history context: What is meant by genetic quality?,Mr J Hunt,APD
DP0208088,"Halley, P",Novel Tough Polymer Composites,Dr Q Guo,QEII
DP0208095,"DOUSSET, L",Australian Western Desert Kinship and Land Tenure Systems,Dr LA DOUSSET,APD
DP0208102,"Stimson, R",Spatially Integrated Socio-Economic Analysis: Australia at the New Millennium,Dr SW Baum,ARF
DP0208107,"Page, N",Wet granule mechanics and their influence on agglomeration behaviour and granulation processes,Dr SM Iveson,ARF
DP0208113,"Humphrey, M",Organometallic materials for photonics,Dr MP Cifuentes,ARF
DP0208128,"Wong-Leung, Y",Ion implantation processing in Silicon Carbide for microelectronic applications,Dr YJ Wong-Leung,QEII
DP0208130,"Cavicchioli, R",THE BIOLOGY OF COLD ADAPTED EXTREMOPHILES: AN INTEGRATED GENOMIC-PROTEIN ANALYSIS APPROACH,Dr NF Saunders,APD
