Project ID,Funding Completion Year,Project Leader,Project Title,Fellowship Recipient,Fellowship Type
DE120100016,2014,Nguyen,Reliable transmission for wireless control,Khoa D Nguyen,DECRA
DE120100019,2014,Narendra,Miniaturisation: sensory limitations and navigational competence,Ajay Narendra,DECRA
DE120100030,2014,Lannuzel,The role of Antarctic sea ice as a natural ocean fertiliser,Delphine Lannuzel,DECRA
DE120100040,2014,Horsley,Partitioning and ordering Steiner triple systems,Daniel J Horsley,DECRA
DE120100042,2014,Xu,Study of oriented attachment of nanocrystals at oil-water interfaces,Haolan Xu,DECRA
DE120100049,2014,Engineer,"New integer programming based theory, formulations and decomposition techniques with applications to integrated problems",Faramroze Engineer,DECRA
DE120100050,2014,Watt,Innovation and reform in the theory and practice of musical criticism in late Victorian England to the 1920s,Paul E Watt,DECRA
DE120100055,2014,Rukhlenko,Controlling light with nonlinear effects in silicon nanocrystals,Ivan D Rukhlenko,DECRA
DE120100069,2014,Calo,The archaeology of the north coast of Bali: a strategic crossroads in early trans-Asiatic exchange,Ambra Calo,DECRA
DE120100086,2014,Hardy,Teachers' learning in complex times: theorising teacher professional development practices under globalised policy conditions,Ian J Hardy,DECRA
DE120100107,2014,Haile,Eggshells: genetic and biochemical information encapsulated,James Haile,DECRA
DE120100110,2014,Kim,Extinction of drug-seeking in adolescent rats,Jee Hyun Kim,DECRA
DE120100155,2014,Metaxas,Magnetic biosensing: developing high frequency spintronic sensors for magnetic label detection,Peter J Metaxas,DECRA
DE120100161,2014,Toms,Accumulation and half-lives of brominated flame retardants,Leisa-Maree L Toms,DECRA
DE120100163,2014,Pedroso,Modelling and simulation of instabilities in unsaturated soils due to wetting,Dorival d Pedroso,DECRA
DE120100173,2014,Trudgian,A new upper bound for the Riemann zeta-function and applications to the distribution of prime numbers,Timothy S Trudgian,DECRA
DE120100213,2014,Konings,The rise of the United States Federal Reserve,Martijn Konings,DECRA
DE120100214,2014,Kasumovic,Re-evaluating evolution by examining developmental plasticity in response to the social environment,Michael M Kasumovic,DECRA
DE120100226,2014,Xiong,Quantum entanglement using slow-light-enhanced nonlinearity,Chunle Xiong,DECRA
DE120100232,2014,Morrison,Fusion categories and topological quantum field theory,Scott Morrison,DECRA
DE120100235,2014,Clemens,A novel approach to modelling nicotine dependence in the rat,Kelly J Clemens,DECRA
DE120100246,2014,Ong,Achieving high-speed wireless communication networks through joint channel and network coding,Lawrence Ong,DECRA
DE120100282,2014,Irving-Rodgers,The formation and regulation of ovarian follicular fluid,Helen F Irving-Rodgers,DECRA
DE120100291,2014,Jia,Refractive index manipulation in photonic bandgap materials for highly efficient far-field three-dimensional nonlinear nanofocusing,Baohua Jia,DECRA
DE120100295,2014,Hilder,Computational modelling of nanostructures designed to mimic ion-selective biological channels,Tamsyn Hilder,DECRA
DE120100300,2014,Faulkner,The politicised child in postcolonial community: a political ontology of childhood and memory examined through cases in Australia and Canada,Joanne Faulkner,DECRA
DE120100304,2014,Dunning,Biomimetic systems for species preservation and fertility restoration,Kylie R Dunning,DECRA
DE120100307,2014,Tanz,Determining organellar gene expression in distinct cell types: a missing piece of the puzzle for the transfer of C4 photosynthesis into C3 plants,Sandra K Tanz,DECRA
DE120100315,2014,Isakhan,Measuring the destruction of heritage and spikes of violence in Iraq,Benjamin Isakhan,DECRA
DE120100320,2014,Formosa,Dignity and respect: a Kantian theoretical approach to practical rationality and human agency,Paul C Formosa,DECRA
DE120100329,2014,Jiang,Photocatalytic reduction of carbon dioxide with water into hydrocarbon fuels and chemicals,Yijiao Jiang,DECRA
DE120100352,2014,Laliberte,Understanding the origin and maintenance of megadiverse plant communities,Etienne Laliberte,DECRA
DE120100359,2014,Zacher,Intergenerational demands as a double-edged sword in the work context,Hannes Zacher,DECRA
DE120100364,2014,Xia,Understanding winds: energy transfer in rotating turbulent fluids,Hua Xia,DECRA
DE120100390,2014,Keirstead,Characterisation of collagenous lectins and their roles in ovine infectious diseases,Natalie D Keirstead,DECRA
DE120100394,2014,Kowal,From scientific specimen to Indigenous cultural property: the collection and use of Indigenous DNA samples since the 1960s,Emma Kowal,DECRA
DE120100399,2014,Berengut,Are the laws of physics changing? New methods for detecting variations in the fundamental constants,Julian C Berengut,DECRA
DE120100401,2014,Burges,"The Brazilian National Bank for Economic and Social Development (BNDES), foreign policy and the internationalisation of Brazil",Sean W Burges,DECRA
DE120100402,2014,Gillespie,The effectiveness of intervention in communication and safety climate in the operating room,Brigid M Gillespie,DECRA
DE120100423,2014,Zurr,Tissue engineered muscle actuators as evocative cultural objects and vehicles for discourses about material agency and living machines,Ionat Zurr,DECRA
DE120100434,2014,Furic,"Estrogen-mediated regulation of gene expression via transcriptional and translational control: complementary, synergistic or opposing responses?",Luc Furic,DECRA
DE120100467,2014,Poad,Unravelling the intrinsic structure and stability of multiply charged anions in the gas-phase using photoelectron spectroscopy and mass spectrometry,Berwyck  L Poad,DECRA
DE120100474,2014,Clulow,"Perilous embassies: diplomatic encounters between Europe and Asia, 1600-1800",Adam Clulow,DECRA
DE120100488,2014,McDougall,When should health professionals override parents' decisions about a child's medical treatment?,Rosalind J McDougall,DECRA
DE120100489,2014,Stello,Probing fundamental stellar physics and unravelling open star clusters with NASA's Kepler Mission,Dennis Stello,DECRA
DE120100501,2014,Tian,"The Advising Boards, corporate risk-taking and firm performance",Yuan G Tian,DECRA
DE120100503,2014,High,"Desire and the political field: decision-making and political moralities from 'culture village' to Vientiane, Laos",Holly High,DECRA
DE120100508,2014,Groza,A framework for building dynamic knowledge bases in the biomedical domain,Tudor V Groza,DECRA
DE120100510,2014,Fernando,Manganese heavy metal toxicity in plants: new perspective on a neglected problem,Denise R Fernando,DECRA
DE120100513,2014,Nebel,Solving the iron oxidation conundrum in mantle-derived magmatic systems,Oliver Nebel,DECRA
DE120100518,2014,Zeppel,Shifting rainfall from spring to autumn: tree growth and water use under climate change,Melanie J Zeppel,DECRA
DE120100535,2014,Baumann,The role of the human cerebellum in perceptual processes,Oliver Baumann,DECRA
DE120100536,2014,McKinlay,Early identification of young people at risk of offending behaviour and mental health issues following traumatic brain injury,Audrey McKinlay,DECRA
DE120100559,2014,Cavalcanti,The structure of nonclassicality and the foundations of quantum theory,Eric G Cavalcanti,DECRA
DE120100562,2014,Zietsch,Investigating the evolution of human traits and the maintenance of heritable individual differences,Brendan P Zietsch,DECRA
DE120100569,2014,Doherty,Classroom relations and moral order in compulsory non-academic pathways in high school and TAFE settings,Catherine A Doherty,DECRA
DE120100593,2014,Ford,"Protecting the peace: protectors and the legal transformation of the British Empire, 1820-1850",Lisa M Ford,DECRA
DE120100604,2014,Tovias de Plaisted,"Entangled colonialisms: First Nations women of the American-Canadian borderlands, 1880-1940",Blanca I Tovias de Plaisted,DECRA
DE120100626,2014,Eriksson,Othering in penal policy and practice: a cross-national study of imprisonment in Australia and Sweden,Anna Eriksson,DECRA
DE120100635,2014,Brueckner,The effects of international commodity price shocks on state fragility,Markus Brueckner,DECRA
DE120100653,2014,Marinovic,The predictive brain and control of anticipatory actions,Welber Marinovic,DECRA
DE120100668,2014,Mason,New Brassica crop species through evolutionary breeding,Annaliese S Mason,DECRA
DE120100691,2014,Jeffrey,Argonaute proteins and the mammalian antiviral response,Kate L Jeffrey,DECRA
DE120100694,2014,Kennedy,Effective systems for managing intractable natural resource use conflict,Amanda L Kennedy,DECRA
DE120100702,2014,Tettamanzi,Single atom based quantum metrology,Giuseppe C Tettamanzi,DECRA
DE120100720,2014,Kral,"Connecting, communicating and learning through new media: Indigenous youth and digital futures in remote Australia",Inge B Kral,DECRA
DE120100723,2014,Cropley,The inheritance of epigenetic information in mammals,Jennifer E Cropley,DECRA
DE120100729,2014,Hinder,Brain connectivity during movement planning and execution in young and older adults,Mark R Hinder,DECRA
DE120100748,2014,Panchenko,Robust inference for behavioural models in economics and finance,Valentyn Panchenko,DECRA
DE120100776,2014,Recker,Designing process models to support communication and decision-making,Jan Recker,DECRA
DE120100782,2014,Taoudi,Identifying molecular regulators of haematopoietic stem cell development,Samir Taoudi,DECRA
DE120100786,2014,Jones,"Slow catastrophes: drought resilience amongst farmers and agricultural communities in south eastern Australia, 1880s-2000s",Caroline R Jones,DECRA
DE120100794,2014,Plachta,Revealing dynamic mechanisms controlling pluripotency in mammalian stem cells and embryos,Nicolas D Plachta,DECRA
DE120100796,2014,Walters,Androgens and ovarian function,Kirsty A Walters,DECRA
DE120100798,2014,Howard-Wagner,"Indigenous societies, governance and wellbeing: a study of Indigenous community success in addressing disadvantage and promoting wellbeing",Deirdre E Howard-Wagner,DECRA
DE120100802,2014,Mejias Alvarez,Developing novel concepts for improved safety in aircraft emergency situations,Luis Mejias Alvarez,DECRA
DE120100814,2014,Cox,Hypnotic illusions and clinical delusions: how closely and usefully can hypnosis model delusional beliefs?,Rochelle E Cox,DECRA
DE120100824,2014,Bulloch,Intimate relationships and the politics of personhood in the Philippines,Hannah Bulloch,DECRA
DE120100836,2014,Turbill,Oxidative stress as a physiological constraint on the pace of life histories,Christopher Turbill,DECRA
DE120100898,2014,Woolgar,The brain that adapts itself - flexible processing in an ever-changing world,Alexandra Woolgar,DECRA
DE120100901,2014,Yuncken,Deformation quantisation and index theory for semi-simple groups,Robert E Yuncken,DECRA
DE120100907,2014,Loetscher,"The brain, maths and space: their interaction in health and disease",Tobias Loetscher,DECRA
DE120100957,2014,Beck,Using ancient fossils and new methods to unravel Australian mammal evolution in deep time,Robin M Beck,DECRA
DE120100960,2014,Dong,Simulation and characterisation of the packing of uniform non-spherical particles,Kejun J Dong,DECRA
DE120100992,2014,Farnham,The role of neuropeptides driving plasticity in the control of blood pressure and breathing,Melissa M Farnham,DECRA
DE120100995,2014,Milford,Visual navigation for sunny summer days and stormy winter nights,Michael J Milford,DECRA
DE120101006,2014,Jackson,Understanding and increasing high school girls' physical activity levels through a physical education-based research program,Ben Jackson,DECRA
DE120101021,2014,Anceschi,Islam and foreign policy,Luca Anceschi,DECRA
DE120101026,2014,Kim,Does transitional justice make a difference? Implications for the Asia-Pacific region,Hun Joon Kim,DECRA
DE120101029,2014,Thomas,Responding to humanitarian emergencies: mass generosity as collective action,Emma F Thomas,DECRA
DE120101036,2014,Yang,Integrated mid-infrared optical microcavity sensors,Zhiyong Yang,DECRA
DE120101037,2014,Wilmsen,"After the deluge: revisiting displacement and resettlement at the Three Gorges Dam, China",Brooke D Wilmsen,DECRA
DE120101072,2014,Waterton,Photos of the past: the negotiation of identity and belonging at Australian tourism sites,Emma L Waterton,DECRA
DE120101090,2014,Vivoda,The politics of megadeals in the extractive industries,Vlado Vivoda,DECRA
DE120101100,2014,Cervenka,Functionalised graphene for next generation nanoelectronics,Jiri Cervenka,DECRA
DE120101106,2014,Olivia,Economic rise and decline - as seen from space,Susan Olivia,DECRA
DE120101113,2014,Kim,Mathematical modelling of breast cancer immunity: guiding the development of preventative breast cancer vaccines,Peter S Kim,DECRA
DE120101117,2014,Howell,Understanding the molecular machines making proteins essential for life: investigating specialisation of plastid ribosome composition and function,Katharine A Howell,DECRA
DE120101119,2014,Robinson,The critical executive processes involved in translating ideas into spoken language for conversational speech,Gail A Robinson,DECRA
DE120101126,2014,Crean,"More than meets the egg: environmental effects on sperm quality, sperm competitive success, and offspring fitness",Angela J Crean,DECRA
DE120101127,2014,Huang,An integrated statistical genetics framework for breeding superior wheat varieties,Bevan E Huang,DECRA
DE120101130,2014,Li,New models and estimation methods in nonlinear panel data econometrics,Degui Li,DECRA
DE120101161,2014,Shi,Compressive sensing based probabilistic graphical models (PGM),Qinfeng J Shi,DECRA
DE120101167,2014,Zhou,Canonical metrics on Kahler manifolds and Monge-Ampere equations,Bin Zhou,DECRA
DE120101173,2014,Ridgers,Understanding patterns of physical activity in youth: exploring compensatory effects,Nicola D Ridgers,DECRA
DE120101187,2014,Jones,Adapting industrial plasma-processing chemistries through electron collisions to meet emerging technological and environmental requirements,Darryl Jones,DECRA
DE120101192,2014,Hooper,"Australian modernism in compositions by Butterley, Conyngham, Edwards, Meale and Sculthorpe",Michael J Hooper,DECRA
DE120101196,2014,Black,A modern profession: the Australian air hostess/flight attendant 1936 - 1984,Prudence S Black,DECRA
DE120101206,2014,McGee,Offending across the life-course: testing developmental and life-course theories of crime,Tara R McGee,DECRA
DE120101213,2014,Angly,Microbial buffering: protecting the Great Barrier Reef against anthropogenic impacts,Florent E Angly,DECRA
DE120101242,2014,Holt,Regulation of germ cell number and quality by Fizzy-related protein,Janet E Holt,DECRA
DE120101263,2014,Ford,Assessing the impact of global environmental change on the nutritional ecology of marsupial and insect folivores of Eucalyptus,Karen J Ford,DECRA
DE120101266,2014,Guo,Low-complexity factor-graph-based receiver design for bandwidth-efficient communication systems over doubly selective channels,Qinghua Guo,DECRA
DE120101270,2014,Page,"The behavioural birthdate effect: the impact of relative position within cohorts on risk aversion, self-confidence and aspiration levels",Lionel Page,DECRA
DE120101289,2014,Shaw,How we know who is talking: talker-distinctiveness in speech timing,Jason A Shaw,DECRA
DE120101290,2014,Oakes,Unravelling the transformation pathways and fate of dissolved organic carbon and nitrogen in shallow coastal sediments,Joanne M Oakes,DECRA
DE120101293,2014,Harvey,Counting solutions to equations over fields of large characteristic,David M Harvey,DECRA
DE120101302,2014,Tovar,Lab-on-a-chip platforms for hemodynamics research: new approaches for the study of blood diseases,Francisco Tovar,DECRA
DE120101311,2014,Jusuf,Role of intrinsic versus extrinsic cues in cell type determination during development and regeneration,Patricia Jusuf,DECRA
DE120101329,2014,Schröder,Ultra-stable photonic-chip pulse source,Jochen B Schröder,DECRA
DE120101331,2014,Munro,Fundamental electromagnetic modelling of light-biological tissue interactions: a platform for future medical microscopy,Peter R Munro,DECRA
DE120101334,2014,Roach,Sensory prediction: the role of forward modelling in visual processing,Neil W Roach,DECRA
DE120101340,2014,Kennedy,Subversion of innate immune responses by pathogenic Escherichia coli,Catherine L Kennedy,DECRA
DE120101359,2014,Young,Imagining diversity: race and ethnicity in popular fantasy,Helen V Young,DECRA
DE120101375,2014,Mani,"The Tutte polynomial of a graph: correlations, approximations and applications",Arun P Mani,DECRA
DE120101402,2014,Khoshmanesh,Analysing cell-cell communication mechanisms using microfluidic platforms,Khashayar Khoshmanesh,DECRA
DE120101412,2014,Rosic,Understanding the biosynthesis of marine UV-absorbing compounds,Nedeljka Rosic,DECRA
DE120101426,2014,Tang,"Understanding industrialisation, entrepreneurship, and technology adoption in emerging economies: new evidence from historical Japanese firms",John P Tang,DECRA
DE120101434,2014,Read,The role of outdoor activity in myopia development,Scott  A Read,DECRA
DE120101446,2014,Schwanz,The battle of the sexes heats up: climate change and the ecological and evolutionary fate of reptiles when sex is determined by temperature,Lisa E Schwanz,DECRA
DE120101452,2014,Akhtar,New approach to testing Merton's intertemporal asset pricing model to enhance risk management and reduce complexity in financial markets globally,Mahmuda S Akhtar,DECRA
DE120101456,2014,Silvester,Electrochemical behaviour of toxic gases and explosives in room temperature ionic liquids,Debbie S Silvester,DECRA
DE120101469,2014,Thompson,The effects of the National Assessment Program - Literacy and Numeracy on Australian School Communities,Greg Thompson,DECRA
DE120101470,2014,Godfrey,Using social network models to understand the factors driving parasite transmission in bettong populations,Stephanie S Godfrey,DECRA
DE120101493,2014,Kim,The transfer of global hegemony: geopolitical revolutions in world history,Hyun Jin Kim,DECRA
DE120101494,2014,Png,Terahertz sensing of proteins associated with Alzheimer's disease,Gretel M Png,DECRA
DE120101496,2014,Huang,Diammoniate of diborane for hydrogen storage,Zhenguo Huang,DECRA
DE120101498,2014,Tartaglino-Mazzucchelli,"Superspace and dualities in supersymmetric field theories, supergravity and string theory",Gabriele Tartaglino-Mazzucchelli,DECRA
DE120101502,2014,Laurence,Planning the primary health care workforces: developing and implementing a needs-based approach,Caroline O Laurence,DECRA
DE120101503,2014,Clemente,Design of a biologically inspired running and climbing robotic lizard,Christofer J Clemente,DECRA
DE120101504,2014,Pelliccia,Nano-resolution hard x-ray diffraction imaging with conventional laboratory sources,Daniele Pelliccia,DECRA
DE120101512,2014,Hussain,"Investigating the interaction of microRNAs-Wolbachia-Dengue virus in the mosquito vector, Aedes aegypti",Malik M Hussain,DECRA
DE120101523,2014,Henker,Impeding the bubble: evidence from experimental asset markets,Julia Henker,DECRA
DE120101529,2014,Gray,Transmission dynamics modelling of zoonotic neglected tropical diseases,Darren J Gray,DECRA
DE120101533,2014,Price,Understanding faunal responses to climate change and environmental perturbations through the Quaternary in north-eastern Australia,Gilbert J Price,DECRA
DE120101547,2014,Roth,Novel smart materials: development of positively thermo-responsive polymers for biomedical applications,Peter J Roth,DECRA
DE120101549,2014,Kroemer,"Creating a baker's yeast chassis cell via shikimate pathway engineering for production of sustainable, carbon-neutral plastic precursors for the future",Jens O Kroemer,DECRA
DE120101550,2014,O'Mara,Understanding multidrug resistance: identifying the molecular basis of substrate and inhibitor transport by P-glycoprotein,Megan L O'Mara,DECRA
DE120101562,2014,Price,Quantifying the contribution of leaf vein networks to the leaf economics spectrum in native and agricultural species,Charles A Price,DECRA
DE120101567,2014,Lee,Adding value to wastewater treatment - ultrasound enhanced crystallisation,Judy Lee,DECRA
DE120101569,2014,Bao,A novel graphene-based optical sensing platform,Qiaoliang Bao,DECRA
DE120101580,2014,Smith,The impact of the ageing workforce on work injury and compensation systems in Australia,Peter M Smith,DECRA
DE120101588,2014,Islam,The impact of aggregate and idiosyncratic shocks and uncertainties: do immigrants behave differently than the native-born?,Asadul Islam,DECRA
DE120101591,2014,Searle,Religious nonconformity and performance in Britain (circa 1620-1680),Alison A Searle,DECRA
DE120101604,2014,Barraud,Novel role for the universal signalling molecule nitric oxide within biofilm communities and across a biofilm-host interface,Nicolas Barraud,DECRA
DE120101615,2014,Brandley,How does viviparity evolve? Genetic perspectives from a unique model system,Matthew C Brandley,DECRA
DE120101640,2014,Breen,The caregiver bereavement study: determining the effect of caregivers' anticipatory grief on post-bereavement outcome,Lauren J Breen,DECRA
DE120101642,2014,Siminski,"Army service, employment incentives and veterans' life outcomes: a natural experiment",Peter M Siminski,DECRA
DE120101653,2014,Hunter,"Selective fluorination chemistry: a tool for creating bioactive, shape-controlled peptides",Luke Hunter,DECRA
DE120101666,2014,Ye,Endogenous bone regenerative technique to repair hard tissue defects in congenital craniofacial clefts,Qingsong Ye,DECRA
DE120101701,2014,Mounsey,A porcine model to provide new insights on scabies immunopathology,Kate E Mounsey,DECRA
DE120101702,2014,Dales,Beyond the family: relationships of intimacy in contemporary Japan,Laura Dales,DECRA
DE120101706,2014,Reef,Worth its salt: advancing knowledge of salinity tolerance with mangroves as a model system,Ruth Reef,DECRA
DE120101707,2014,Jin,Regularisation methods for solving nonlinear ill-posed inverse problems,Qinian Jin,DECRA
DE120101710,2014,Tong,"Protecting equity and ethics in organ donation: patient, public and professional perspectives",Allison Tong,DECRA
DE120101721,2014,Shaw,Probing the excited states of organic semiconductor systems with photoinduced absorption spectroscopy,Paul E Shaw,DECRA
DE120101730,2014,Lee,Targeting cell death pathways in parasites,Erinna F Lee,DECRA
DE120101731,2014,Steel,"Oceanic crossings: cultures of trans-Pacific passenger shipping in the age of steam, circa 1880-1960",Frances M Steel,DECRA
DE120101743,2014,Gogos,Estrogens and schizophrenia: animal studies,Andrea Gogos,DECRA
DE120101761,2014,Gaspers,Solving intractable problems: from practice to theory and back,Serge Gaspers,DECRA
DE120101763,2014,Caluya,"Burqas, borders and babies: intimate citizenship in postcolonial Australia",Gilbert Caluya,DECRA
DE120101778,2014,Awrangjeb,Building change detection and map update using multispectral imagery and height data,Mohammad Awrangjeb,DECRA
DE120101788,2014,Zhou,Shape sorting of nanoparticles at oil-water interfaces in microchannels,Jingfang Zhou,DECRA
DE120101807,2014,Little,Fat sensing in the oral cavity and gastrointestinal tract: role in the regulation of gastrointestinal function and energy intake in health and obesity,Tanya J Little,DECRA
DE120101838,2014,Haberkorn,Impunity and state violence in Thailand,Tyrell C Haberkorn,DECRA
DE120101854,2014,Jones,Whose family values? the Christian right and sexual politics in postsecular Australia,Timothy W Jones,DECRA
DE120101859,2014,Mack,Dark matter particle physics and the first sources of light in the universe,Katherine J Mack,DECRA
DE120101890,2014,Palmer,Purification of contaminated wastewaters by modified Bayer layered double hydroxides,Sara J Palmer,DECRA
DE120101899,2014,de Almeida,Developing the next generation of single and entangled photon sources,Marcelo P de Almeida,DECRA
DE120101913,2014,Bai,Free-forming and function-integrated composite structures for future green building construction,Yu Bai,DECRA
DE120101916,2014,Taft,Characterisation of nuclear-localised microRNAs,Ryan T Taft,DECRA
DE120101931,2014,Bedggood,Functional imaging with cellular resolution in the living eye,Phillip A Bedggood,DECRA
DE120101945,2014,Denson,Anger and aggression in psychological time and space,Thomas F Denson,DECRA
DE120101948,2014,Hateley,Who wins? Who loses? - The social values of Australian children's book awards,Erica J Hateley,DECRA
DE120101954,2014,Greenhill,Discovering Trans-New Guinea: revealing the prehistory of New Guinea,Simon J Greenhill,DECRA
DE120101998,2014,Mallela,"Coral reefs, climate change and land-based pollution: past, present and future impacts on coral reef development",Jennie Mallela,DECRA
DE120102003,2014,Randle,More foster carers for children in need: understanding heterogeneity among Australian foster carers to increase recruitment and placement success,Melanie Randle,DECRA
DE120102012,2014,Leong,Estimation and control algorithms over wireless networks,Alex S Leong,DECRA
DE120102017,2014,Schnell,Typology of language use: quantitative investigations of discourse from endangered languages,Stefan Schnell,DECRA
DE120102028,2014,Light,Integrated gas photonics,Philip S Light,DECRA
DE120102034,2014,Weisbecker,How did mammals evolve large brains? A multidisciplinary view from the pouch,Vera Weisbecker,DECRA
DE120102052,2014,Medwell,Resolving flame stabilisation mechanisms in the transition to moderate of intense low oxygen dilution (MILD) combustion,Paul R Medwell,DECRA
DE120102055,2014,Bullot,"Agent tracking and its disorders: a theory of the cognitive mechanisms, errors, and ethics involved in the identification of human individuals",Nicolas J Bullot,DECRA
DE120102068,2014,Barlow,Negative intergroup contact has a stronger impact on intergroup attitudes than does positive contact: explaining racism and attitudinal homeostasis,Fiona  K Barlow,DECRA
DE120102069,2014,Husko,Optical solitons on a photonic chip: unprecedented light control at the nanoscale,Chad Husko,DECRA
DE120102113,2014,Lawrence,Total synthesis inspired by nature,Andrew L Lawrence,DECRA
DE120102114,2014,Wilken,The cultural economy of locative media,Rowan C Wilken,DECRA
DE120102132,2014,Kobayashi,Australia-Japan relations between 1945 and 1957: the Japanese perspective,Ai Kobayashi,DECRA
DE120102144,2014,Zhang,Continuously monitoring uncertain objects in a multi-dimensional space,Wenjie Zhang,DECRA
DE120102166,2014,Paradkar,Identification and characterisation of anti-viral immune response genes in mosquitoes,Prasad N Paradkar,DECRA
DE120102204,2014,Menicucci,Quantum computation and relativistic quantum information,Nicolas C Menicucci,DECRA
DE120102221,2014,Catford,Investigating the susceptibility of native vegetation edges to alien plant invasion: a quantitative study to help prevent and control invasive species,Jane A Catford,DECRA
DE120102245,2014,Li,Comparison of early mesozoic sedimentary provenances of both sides of the YarlungTsangpo suture zone and the evolution of the neotethys,Guangwei Li,DECRA
DE120102263,2014,Regev-rudzki,Export of effector proteins by P. falciparum to the infected red blood cell,Neta Regev-rudzki,DECRA
DE120102271,2014,Pivrikas,High performance organic optoelectronic devices - the role of charge carrier lifetime,Almantas Pivrikas,DECRA
DE120102277,2014,Ogawa,Design optimisation and physical behaviour of fuel injection and mixing for innovative scramjet concepts,Hideaki Ogawa,DECRA
DE120102279,2014,Bissell,Stressed mobilities: understanding the significance of the commute for city-workers,David J Bissell,DECRA
DE120102304,2014,Rogers,The quality of remorse in Northern Ireland and South Africa - implications for Australia,Juliet A Rogers,DECRA
DE120102308,2014,Lam,The physical and metaphysical foundations of structural realism,Vincent Lam,DECRA
DE120102321,2014,Kerr,Exploiting pathogen-host interactions to dissect the mammalian endocytic pathway,Markus C Kerr,DECRA
DE120102323,2014,Delhey,How the visual environment affects the diversity of avian colours and why this matters,Kaspar Delhey,DECRA
DE120102352,2014,KOU,Three-dimensional structural imaging in optical microscopy and tomography,Shanshan KOU,DECRA
