Project ID,Scheme,Submission Year,Commencement Year,Administering Organisation,State/ Territory,Investigators,Project Title,National/Community Benefit,Primary FoR/RFCD,Primary FoR/RFCD Description,Funding Award,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CE0561389,CE,2004,2005,The Australian National University,ACT,Prof SJ Buckman; Dr JP Sullivan; Dr JC Lower; Prof RP McEachran; Prof I Bray; Prof AT Stelbovics; Dr D Fursa; Dr MJ Brunger; Prof PJ Teubner; Dr A Hill; Dr TJ Bastow; Prof B Lohmann; Prof JF Williams; Dr S Samarin; Dr SV Smith; Dr L Vance; Prof NJ Mason;,ARC Centre of Excellence - Centre for Antimatter-Matter Studies,"While our world is made of matter, all particles have anti-particles and the most abundant is the positron, the electron's antiparticle.  It is the ""workshop"" for most anti-matter studies, particularly for the characterization of materials, including gases, polymers, insulators, thin films and surfaces, as well as the development of new and novel, nano-structured materials.  The ARC Centre of Excellence in Antimatter-Matter Studies (CAMS) will bring together key Australian and international scientists to work in this emerging scientific field of antimatter-matter interactions.  It will forge a unique and effective scientific team for state-of-the-art studies of the nano-world that underlies many everyday processes and new technologies.",2403,ATOMIC AND MOLECULAR PHYSICS; NUCLEAR AND PARTICLE PHYSICS; PLASMA PHYSICS,"$10,500,000",,,,"$700,000","$1,400,000","$1,400,000","$1,400,000","$1,400,000","$1,200,000","$1,000,000","$1,000,000","$1,000,000",,,,,
CE0561903,CE,2004,2005,The Australian National University,ACT,Prof TD Lamb; Prof J Stone; Prof MV Srinivasan; Dr M Edwards; Dr MR Ibbotson; Dr AC James; A/Prof TL Maddess; A/Prof IG Morgan; A/Prof JM Provis; Dr K Valter-Kocsi; A/Prof J Zeil; Dr S Zhang; Prof D Yu; Dr SJ Cringle; Prof DI Vaney; Prof B Dreher; Prof S,ARC Centre of Excellence - Vision Science,"This Centre will generate important new knowledge of the performance, logic and stability of vision and visual behaviour. This knowledge will help reduce the burden of vision impairment in Australia, increasing productivity, promoting healthy ageing and reducing the community costs of visual impairment (ca. $9.85 billion in 2004). The knowledge produced will also make possible world-class innovations in robotics, leading to novel automated vision systems with applications in industry and national security. Other knowledge will develop novel diagnostic technologies, for application in health delivery.",3207,NEUROSCIENCES,"$16,250,000",,,,"$1,100,000","$2,200,000","$2,200,000","$2,200,000","$2,200,000","$1,850,000","$1,500,000","$1,500,000","$1,500,000",,,,,
CE0562063,CE,2004,2005,Monash University,Vic,Prof B Adler; Prof RL Coppel; Prof JK Davies; A/Prof RJ Devenish; Prof P Nagley; Prof JI Rood; Dr J Rossjohn; Prof IA Smith; Dr JC Whisstock,ARC Centre of Excellence - Structural and Functional Microbial Genomics,"The research falls under the National Research Priority Frontier Technologies for Building and Transforming Australian Industries, with the priority goal of frontier technologies.  The research  has commercial applications, such as the development of novel antimicrobials and vaccines, with potentially enormous impact in the biotechnology area of biomedical health and the primary industries. In addition, the project will use state-of-the-art technology, including use of synchrotron radiation at the Monash-based Australian Synchrotron facility from 2007.",2703,MICROBIOLOGY,"$15,250,000",,,,"$1,000,000","$2,000,000","$2,000,000","$2,000,000","$2,000,000","$1,750,000","$1,500,000","$1,500,000","$1,500,000",,,,,
CE1101014,CE,2010,2011,The University of Queensland,Qld,Prof H Possingham; Dr MA McCarthy; Prof RJ Hobbs; Prof DL Lindenmayer; Prof J Pannell; Dr BA Wintle; Dr AJ Richardson; Dr KA Wilson; Dr Y Buckley; Dr PA Vesk; Dr SA Bekessy; Dr JR Rhodes; Dr M Bode; Dr E McDonald-Maddern; Dr M Drechsler; Dr S Kark; Dr AT,ARC Centre of Excellence for Environmental Decisions,"Despite facing the sixth global mass extinction of species, most conservation management is unevaluated and inefficient. The ARC Centre of Excellence for Environmental Decisions will provide international research leadership in tackling the complex problems of environmental management and monitoring in an uncertain world. Working through six Australian universities and six international organisations, the Centre will forge new approaches and tools from ecology, mathematics, statistics, economics and the social sciences. It will lead the world in developing and delivering predictive models and decision-making approaches to improve outcomes in conservation.",0502,ENVIRONMENTAL SCIENCE AND MANAGEMENT,"$11,900,000",,,,,,,,,,"$1,700,000","$1,700,000","$1,700,000","$1,700,000","$1,700,000","$1,700,000","$1,700,000",
CE1101017,CE,2010,2011,Macquarie University,NSW,Prof SY O'Reilly; Prof SA Wilde; Prof PA Cawood; Prof WL Griffin; Prof NJ McNaughton; Prof ZX Li; Prof ME Barley; Prof SP Turner; Dr NJ Pearson; Prof L Dubrovinsky; Prof TC McCuaig; Prof FY Wu; Prof R Kerrich; Prof M Brown; Dr DH Mainprice; Dr MJ van Kran,ARC Centre of Excellence for Core to Crust Fluid Systems,"Water is essential for human existence, indeed for life's beginning. The circulation of water between the surface and the deep interior lubricates the internal dynamics that keep Earth geologically alive; it is crucial to most Earth systems, including the evolution of the hydrospher/atmosphere/biosphere, and the development of giant ore deposits. However, the origin, abundance, speciation and movements of fluids inside Earth are largely unknown, and represent key issues in modern geoscience. This CoE will integrate previously disparate fields - geology, tectonics, geochemistry, petrophysics, geophysics and dynamic modelling - to understand the workings of Earth's deep plumbing system.",0402,GEOCHEMISTRY,"$12,400,000",,,,,,,,,,"$1,800,000","$1,900,000","$1,800,000","$1,800,000","$1,700,000","$1,700,000","$1,700,000",
CE1101029,CE,2010,2011,The University of New South Wales,NSW,Prof JR Piggott; Prof KJ Anstey; Prof RG Cumming; Prof MP Keane; Prof HL Kendig; Prof PF McDonald; Prof M Sherris; Prof AD Woodland; Prof D Blake; Prof RF Disney; Prof H Fang; Prof C Jagger; Prof OS Mitchell; Prof JY Nazroo,ARC Centre of Excellence in Population Ageing Research,"The Centre aims to execute world class basic and applied research to transform our capacity to respond to the economic and social challenges of demographic change, and to changes in individual longevity and cognitive and motor capacity. It will combine in-house expertise with leading researchers globally in initiatives to generate new outcome-oriented approaches to studying the population ageing process and its implications. It s research will inform innovative policy formulation and product and market development, and train a new generation of researchers into population ageing with an enriched appreciation of the cross-disciplinary dimensions of population ageing research.",1402,APPLIED ECONOMICS,"$12,700,000",,,,,,,,,,"$1,800,000","$1,900,000","$1,800,000","$1,800,000","$1,800,000","$1,800,000","$1,800,000",
CE1101009,CE,2010,2011,The University of Newcastle,NSW,Prof SW Sloan; Prof MJ Cassidy; Prof MF Randolph; Prof JP Carter; Prof D Sheng; Prof BN Indraratna; Prof DJ White; A/Prof K Krabbenhoft; A/Prof AV Lyamin; Dr C Gaudin; DR RS Merifield; Prof HG Poulos; Prof DV Griffiths,ARC Centre of Excellence for Geotechnical Science and Engineering,"To pioneer new scientific approaches for geotechnical design of Australia's energy and transport infrastructure. Australia will spend over $250 billion during the next five years on the provision of physical infrastructure for energy and transport, which is the critical importance to the nation's future prosperity. The Centre for Geotechnical Science and Engineering will develop new computational and experimental approaches to underpin the geotechnical design of this infrastructure and provide a national focus for geotechnical research. New scientific approaches and software for designing cheaper and safer infrastructure in the energy and transport sectors.",0905,CIVIL ENGINEERING,"$14,400,000",,,,,,,,,,"$2,100,000","$2,100,000","$2,100,000","$2,100,000","$2,000,000","$2,000,000","$2,000,000",
CE0561616,CE,2004,2005,University of Wollongong,NSW,Prof GG Wallace; Prof DL Officer; Prof DR MacFarlane; Prof GM Clark; Prof M Forsyth; Prof LA Kane-Maguire; Dr PC Innis; Prof GM Spinks; Prof HR Brown; Dr CO Too; A/Prof WE Price; Prof HK Liu; Dr L Spiccia; A/Prof SM Dodds; Dr PA Keller; Dr AI Minett; Dr Y,ARC Centre of Excellence - Australian Centre for Electromaterials Science,"The Centre will tackle some of the biggest challenges facing society: those of renewable energy,  sustainable industries and enhancing human health.  Improvements in all these areas are possible by developing electromaterials with improved efficiency in the generation and transfer of electrical charge.  By developing new nano-materials and new theories to explain their behaviour, the Centre will make advances in the areas of human health through the regeneration of damaged nerves (eg. in spinal injury) and development of artificial muscles; in renewable energy (plastic solar cells, lightweight batteries and electronic textiles) and in sustainable industries (recovery of precious metals and new corrosion protection technologies).",2501,PHYSICAL CHEMISTRY (INCL. STRUCTURAL),"$19,700,000",,,,"$1,200,000","$2,400,000","$2,400,000","$2,400,000","$2,400,000","$2,300,000","$2,200,000","$2,200,000","$2,200,000",,,,,
CE0561787,CE,2004,2005,The University of Melbourne,Vic,Prof KA Nugent; Prof L Tilley; Dr LV Dao; Prof RA Lewis; Dr TA Smith; Dr AG Peele; Prof P Hannaford; Dr MT Ryan; Dr AY Nikulin; Dr JN Varghese; Dr SW Wilkins; Dr JM Gulbis; Dr T Ishikawa; Prof HO Moser; Dr RF Garrett; Dr IL McNulty; Dr H Chapman; A/Prof J,ARC Centre of Excellence - Coherent X-ray Science,"The twenty first century is said to be the century of biology. And there is no doubt that the development of our understanding of biological system is continuing at a massive rate. However as our understanding deepens, we need to draw on the whole range of scientific disciplines to proceed. This Centre draws together a multidisciplinary team of world-leading scientists to address one the key questions in modern biology, the structure of a membrane protein. We will develop techniques based on the latest developments in theoretical physics & chemistry, imaging, biology and technology - including the new Australian Synchrotron - to create new approaches to structural biology.",2499,OTHER PHYSICAL SCIENCES,"$16,700,000",,,,"$900,000","$1,800,000","$1,800,000","$1,800,000","$1,800,000","$2,000,000","$2,200,000","$2,200,000","$2,200,000",,,,,
CE0561574,CE,2004,2005,Monash University,Vic,Prof BC Muddle; Prof PD Hodgson; Prof G Schaffer; A/Prof M Ferry; A/Prof SP Ringer; A/Prof K Xia; Dr J Nie; Dr CH Davies; Dr CR Hutchinson; Dr MR Barnett; A/Prof AK Dahle; A/Prof CH Caceres; A/Prof MJ Hoffman; Prof GL Dunlop; Dr M Couper; Em/Prof JD Embur,ARC Centre of Excellence -  Design in Light Metals,"Under the national Light Metals Action Agenda, Australia recognizes a strategic interest in the production, processing and applications of the light metals, and a growth in global markets for light metals technology. Light metals research is a designated national priority, and this Centre will provide the national focus in strategic fundamental research, the critical level of investment and the level of innovation necessary to achieve competitive advantage from an outstanding research base. As a major contributor to a strategic network of national research capabilities, it will underpin substantial developments in the light metals industry nationally and globally, and extend linkages with major research centres internationally.",2914,MATERIALS ENGINEERING,"$22,550,000",,,,"$1,450,000","$2,900,000","$2,900,000","$2,900,000","$2,900,000","$2,600,000","$2,300,000","$2,300,000","$2,300,000",,,,,
