Country,State,Name,domain
Australia,New South Wales ,Australian Catholic University,www.acu.edu.au/
Australia,New South Wales ,Charles Sturt University,www.csu.edu.au/
Australia,New South Wales ,Macquarie University,mq.edu.au/
Australia,New South Wales ,Southern Cross University,scu.edu.au/
Australia,New South Wales ,The University of New England,www.une.edu.au/
Australia,New South Wales ,The University of New South Wales,https://www.unsw.edu.au/
Australia,New South Wales ,The University of Newcastle,www.newcastle.edu.au/
Australia,New South Wales ,The University of Sydney,sydney.edu.au/
Australia,New South Wales ,"University of Technology, Sydney ",https://www.uts.edu.au/
Australia,New South Wales ,University of Western Sydney ,www.uws.edu.au/
Australia,New South Wales ,University of Wollongong ,www.uow.edu.au/
Australia,Victoria,Deakin University,www.deakin.edu.au/
Australia,Victoria,La Trobe University,www.latrobe.edu.au/
Australia,Victoria,MCD University of Divinity,www.divinity.edu.au/
Australia,Victoria,Monash University,www.monash.edu.au/
Australia,Victoria,Royal Melbourne Institute of Technology (RMIT University),www.rmit.edu.au/
Australia,Victoria,Swinburne University of Technology,www.swinburne.edu.au/
Australia,Victoria,The University of Melbourne,www.unimelb.edu.au/
Australia,Victoria,University of Ballarat,https://www.ballarat.edu.au/
Australia,Victoria,Victoria University,www.vu.edu.au/
Australia,Queensland,Bond University,bond.edu.au/
Australia,Queensland,Central Queensland University ,www.cqu.edu.au/
Australia,Queensland,Griffith University,www.griffith.edu.au/
Australia,Queensland,James Cook University,www.jcu.edu.au/
Australia,Queensland,Queensland University of Technology ,https://www.qut.edu.au/
Australia,Queensland,The University of Queensland ,www.uq.edu.au/
Australia,Queensland,University of the Sunshine Coast ,www.usc.edu.au/
Australia,Queensland,University of Southern Queensland,www.usq.edu.au/
Australia,Western Australia,Curtin University of Technology,www.curtin.edu.au/
Australia,Western Australia,Edith Cowan University,www.ecu.edu.au/
Australia,Western Australia,Murdoch University,www.murdoch.edu.au/
Australia,Western Australia,The University of Notre Dame Australia ,www.nd.edu.au/
Australia,Western Australia,The University of Western Australia,www.uwa.edu.au/
Australia,South Australia,The Flinders University of South Australia ,www.flinders.edu.au/
Australia,South Australia,The University of Adelaide,www.adelaide.edu.au/
Australia,South Australia,University of South Australia,www.unisa.edu.au/
Australia,Tasmania,University of Tasmania,www.utas.edu.au/
Australia,Northern Territory,Batchelor Institute of Indigenous Tertiary Education,www.batchelor.edu.au/
Australia,Northern Territory,Charles Darwin University,www.cdu.edu.au/
Australia,Australian Capital Territory,Australian Institute of Aboriginal and Torres Strait Islander Studies (AIATSIS),www.aiatsis.gov.au/
Australia,Australian Capital Territory,The Australian National University,www.anu.edu.au/
Australia,Australian Capital Territory,University of Canberra ,www.canberra.edu.au/
United States,CA,California Institute of Technology (Caltech),www.caltech.edu/
United States,MA,Harvard University,www.harvard.edu/
United Kingdom,,University of Oxford,www.ox.ac.uk/
United States,CA,Stanford University,www.stanford.edu/
United States,MA,Massachusetts Institute of Technology (MIT),web.mit.edu/
United States,NJ,Princeton University,www.princeton.edu/
United Kingdom,,University of Cambridge,www.cam.ac.uk/
United States,CA,"University of California, Berkeley",berkeley.edu/
United States,IL,University of Chicago,www.uchicago.edu/
United Kingdom,,Imperial College London,www3.imperial.ac.uk/
United States,CT,Yale University,www.yale.edu/
United States,CA,"University of California, Los Angeles (UCLA)",www.ucla.edu/
United States,NY,Columbia University,www.columbia.edu/
Switzerland,,ETH Zürich – Swiss Federal Institute of Technology Zürich,https://www.ethz.ch/en.html
United States,MD,Johns Hopkins University,www.jhu.edu/
United States,PA,University of Pennsylvania,www.upenn.edu/
United States,NC,Duke University,duke.edu/
United States,MI,University of Michigan,https://www.umich.edu/
United States,NY,Cornell University,www.cornell.edu/
Canada,ON,University of Toronto,www.utoronto.ca/
United Kingdom,,University College London (UCL),www.ucl.ac.uk/
United States,IL,Northwestern University,www.northwestern.edu/
Japan,,The University of Tokyo,www.u-tokyo.ac.jp/en/
United States,PA,Carnegie Mellon University,www.cmu.edu/
United States,WA,University of Washington,www.washington.edu/
Singapore,,National University of Singapore (NUS),www.nus.edu.sg/
United States,TX,University of Texas at Austin,www.utexas.edu/
United States,GA,Georgia Institute of Technology (Georgia Tech),www.gatech.edu/
United States,IL,University of Illinois at Urbana Champaign,illinois.edu/
United States,WI,University of Wisconsin-Madison,www.wisc.edu/
Canada,BC,University of British Columbia,www.ubc.ca/
United Kingdom,,London School of Economics and Political Science (LSE),www.lse.ac.uk/
United States,CA,"University of California, Santa Barbara",www.ucsb.edu/
Canada,QC,McGill University,www.mcgill.ca/
Sweden,,Karolinska Institute,ki.se/
Switzerland,,École Polytechnique Fédérale de Lausanne,www.epfl.ch/
United Kingdom,,King's College London,www.kcl.ac.uk/
United Kingdom,,University of Edinburgh,www.ed.ac.uk/
United States,NY,New York University (NYU),www.nyu.edu/
United States,CA,"University of California, San Diego",ucsd.edu/
United States,MO,Washington University in St Louis,wustl.edu/
Hong Kong,,The University of Hong Kong,www.hku.hk/
South Korea,,Seoul National University,www.snu.ac.kr/
China,Beijing,Peking University,english.pku.edu.cn/
United States,MN,University of Minnesota,www.umn.edu/
United States,NC,University of North Carolina at Chapel Hill,unc.edu/
United States,PA,Pennsylvania State University ,www.psu.edu/
United States,MA,Boston University,www.bu.edu/
China,Beijing,Tsinghua University,www.tsinghua.edu.cn/
United States,RI,Brown University,www.brown.edu/
United States,CA,"University of California, Davis",www.ucdavis.edu/
Japan,,Kyoto University,www.kyoto-u.ac.jp/en
Germany,,Ludwig-Maximilians-Universität München,www.en.uni-muenchen.de/
South Korea,,Korea Advanced Institute of Science and Technology (KAIST),www.kaist.edu/
Hong Kong,,Hong Kong University of Science and Technology,www.ust.hk/
United Kingdom,,University of Manchester,www.manchester.ac.uk/
United States,OH,Ohio State University,www.osu.edu/
South Korea,,Pohang University of Science and Technology (Postech),www.postech.ac.kr/
Belgium,,KU Leuven,www.kuleuven.be/english
United States,IN,Purdue University,www.purdue.edu/
Germany,,Georg-August-Universität Göttingen,www.uni-goettingen.de/en/1.html
France,,École Normale Supérieure,www.ens.fr/?lang=en
United States,TX,Rice University,www.rice.edu/
Netherlands,,Leiden University,www.leidenuniv.nl/
Germany,,Universität Heidelberg,www.uni-heidelberg.de/index_e.html
Netherlands,,Delft University of Technology,www.tudelft.nl/en/
France,,École Polytechnique,www.polytechnique.edu/
United States ,CA,University of Southern California,www.usc.edu/
Netherlands,,Erasmus University Rotterdam,www.eur.nl/english/
Switzerland,,Universität Basel ,www.unibas.ch/
Netherlands ,,Utrecht University,www.uu.nl/EN
Singapore,,Nanyang Technological University ,www.ntu.edu.sg/
Netherlands,,Wageningen University and Research Center,www.wageningenur.nl/en.htm
United States,PA,University of Pittsburgh,www.pitt.edu/
United Kingdom,,University of Bristol,www.bris.ac.uk/
United Kingdom ,,Durham University,https://www.dur.ac.uk/
United States,GA,Emory University ,www.emory.edu/
United States,MA,Tufts University ,www.tufts.edu/
Netherlands ,,University of Amsterdam ,www.uva.nl/en
United States ,MI,Michigan State University ,https://www.msu.edu/
Belgium ,,Ghent University ,https://www.ugent.be/en
Germany ,,Freie Universität Berlin ,www.fu-berlin.de/en/
Germany ,,Technische Universität München ,www.tum.de/
United States ,OH,Case Western Reserve University ,www.case.edu/
