GRANT_ID,GRANT_ROLE,DW_INDIVIDUAL_ID,SOURCE_INDIVIDUAL_ID,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,FULL_NAME,ROLE_START_DATE,ROLE_END_DATE,SOURCE_SYSTEM
1055648,CIA,5046420,5046420,Ms,Elizabeth,Anne,Burmeister,Ms Elizabeth Burmeister,1-Jan-13,31-Dec-15,RGMS
1056068,CIA,5046423,5046423,Dr,Chun Yew,,Fong,Dr Chun Yew Fong,1-Jan-13,31-Dec-15,RGMS
1056332,CIA,5046436,5046436,Dr,Jorg,Matthias,Buchholz,Dr Jorg Buchholz,1-Jan-13,31-Dec-15,RGMS
1055868,CIA,5046444,5046444,Dr,Veronica,Angela,Preda,Dr Veronica Preda,1-Jan-13,30-Jun-16,RGMS
1055822,CIA,5046446,5046446,Miss,Bronwen,Margaret,Morrell,Miss Bronwen Morrell,1-Jan-13,31-Dec-15,RGMS
1055778,CIA,5046455,5046455,Dr,Nimeshan,,Geevasinga,Dr Nimeshan Geevasinga,1-Jan-14,2-Feb-16,RGMS
1056132,CIA,5046458,5046458,Ms,Shreya,,Bhattacharya,Ms Shreya Bhattacharya,1-Jan-13,31-Mar-15,RGMS
1055795,CIA,5046459,5046459,Dr,Owen,,Stock,Dr Owen Stock,1-Jan-13,31-Dec-15,RGMS
1055731,CIA,5046460,5046460,Dr,Kheng-Seong,,Ng,Dr Kheng-Seong Ng,1-Jan-13,31-Dec-14,RGMS
1055772,CIA,5046462,5046462,Dr,Robert,Peter,Gooley,Dr Robert Gooley,1-Jan-13,31-Dec-15,RGMS
1055807,CIA,5046463,5046463,Mr,Linh,Tuong,Nguyen,Mr Linh Nguyen,1-May-13,30-Apr-16,RGMS
1055871,CIA,5046466,5046466,Dr,Sudarshan,,Paramsothy,Dr Sudarshan Paramsothy,1-Jan-13,31-Dec-15,RGMS
1055729,CIA,5046468,5046468,Ms,Kathryn,Ann,Mahendran,Ms Kathryn Mahendran,1-Jan-13,31-Dec-14,RGMS
1056152,CIA,5046471,5046471,Dr,Sachin,,Gupta,Dr Sachin Gupta,1-Jan-13,31-Dec-14,RGMS
1055839,CIA,5046472,5046472,Miss,Kylie,M,Dowd,Miss Kylie Dowd,1-Jan-13,31-Dec-15,RGMS
1075308,CIA,5046477,5046477,Ms,Bindu,,Patel,Ms Bindu Patel,1-Jan-14,30-Jun-15,RGMS
1055948,CIA,5046479,5046479,Dr,Suzanne,Elizabeth,Mahady,Dr Suzanne Mahady,1-Jan-13,31-Dec-15,RGMS
1056402,CIA,5046484,5046484,Dr,Odette,Julie,Erskine,Dr Odette Erskine,1-Jan-13,31-Dec-15,RGMS
1075242,CIA,5046486,5046486,Dr,Bhavna,,Padhye,Dr Bhavna Padhye,1-Jan-14,4-Jun-14,RGMS
1075720,CIA,5046490,5046490,Dr,Stephen,Patrick,Casey,Dr Stephen Casey,1-Jan-14,30-Jun-15,RGMS
1056000,CIA,5046495,5046495,Miss,Elise,,Elbourn,Miss Elise Elbourn,1-Jan-13,15-Apr-15,RGMS
1055550,CIB,5046496,5046496,A/Pr,Michael,,Schubert,A/Pr Michael Schubert,1-Jan-13,31-Dec-15,RGMS
1075504,CIE,5046497,5046497,Dr,Philip,Anthony,Jennings,Dr Philip Jennings,1-Jan-14,31-Dec-15,RGMS
1056056,CIA,5046499,5046499,Dr,Sandra,Ya-Chu,Chuang,Dr Sandra Chuang,1-Jan-13,31-Dec-15,RGMS
1055973,CIA,5046501,5046501,Dr,Alex,,Mclellan,Dr Alex Mclellan,1-Apr-13,30-Jun-15,RGMS
1056113,CIA,5046509,5046509,Dr,Marissa,Grace,Daniels,Dr Marissa Daniels,1-Jan-13,31-Mar-15,RGMS
1055965,CIA,5046510,5046510,Dr,Katherine,Brooke,Howell,Dr Katherine Howell,1-Jan-13,31-Dec-15,RGMS
1056098,CIA,5046515,5046515,Dr,Liam,Michael,Hannan,Dr Liam Hannan,1-Jan-13,14-Jan-16,RGMS
1056369,CIA,5046517,5046517,Dr,Adam,Noel,Freeman,Dr Adam Freeman,4-Feb-13,3-Feb-16,RGMS
1075451,CIA,5046546,5046546,Dr,Sarah,,Sandaradura,Dr Sarah Sandaradura,1-Jan-14,31-May-15,RGMS
1075000,CIA,5046562,5046562,Mrs,Jayishni,Niharika,Prasad,Mrs Jayishni Prasad,1-Jan-14,31-Aug-16,RGMS
1074400,CIA,5046577,5046577,Dr,Shu Fen,,Wong,Dr Shu Fen Wong,1-Jan-14,28-Feb-15,RGMS
1055575,CIE,5046585,5046585,Dr,Ian,Carnegie,Dickinson,Dr Ian Dickinson,1-Jan-13,31-Dec-14,RGMS
1074886,CIA,5046586,5046586,Dr,Matthew,John,Roberts,Dr Matthew Roberts,1-Jan-14,31-Dec-15,RGMS
1056240,CIA,5046591,5046591,Dr,David,Shi Hao,Liu,Dr David Liu,4-Feb-13,3-Feb-16,RGMS
1056378,CIA,5046594,5046594,Dr,Sven-Jean,,Tan,Dr Sven-Jean Tan,1-Jan-13,31-Dec-15,RGMS
1075970,CIA,5046595,5046595,Dr,Sanchai,Eddy,Thientosapol,Dr Sanchai Thientosapol,1-Jan-14,31-Dec-16,RGMS
1056219,CIA,5046596,5046596,Dr,Sarah,Louise,Sheridan,Dr Sarah Sheridan,1-Jan-13,31-Dec-14,RGMS
1056485,CIA,5046600,5046600,Ms,Amy,,Loughman,Ms Amy Loughman,1-Jan-13,28-Apr-16,RGMS
1056306,CIA,5046603,5046603,Dr,Gareth,Peter,Gregory,Dr Gareth Gregory,1-Jan-13,31-Dec-15,RGMS
1056280,CIA,5046604,5046604,Dr,Alwin,,Chuan,Dr Alwin Chuan,1-Jan-13,31-Dec-15,RGMS
1056437,CIA,5046606,5046606,Mrs,Edith,Eva,Holloway,Mrs Edith Holloway,29-Mar-13,28-Mar-16,RGMS
1056358,CIA,5046613,5046613,Dr,Sharon,Lee,Ford,Dr Sharon Ford,1-Jan-13,31-Mar-15,RGMS
1056285,CIA,5046625,5046625,Dr,Gina,Louise,O'Grady,Dr Gina O'Grady,1-Jan-13,31-Dec-14,RGMS
1056466,CIA,5046628,5046628,Dr,Timothy,James,Eviston,Dr Timothy Eviston,1-Jan-13,31-Dec-15,RGMS
1056803,CIE,5046630,5046630,Dr,Dyani,,Lewis,Dr Dyani Lewis,30-Jun-13,29-Jun-16,RGMS
1056610,CIA,5046662,5046662,Dr,Timothy,Albert,Warren,Dr Timothy Warren,1-Jan-13,31-Aug-14,RGMS
1056401,CIB,5046665,5046665,Dr,Sylvie,,Alonso,Dr Sylvie Alonso,1-Jan-13,31-Dec-15,RGMS
1056432,CIA,5046675,5046675,Miss,Katrina,Elizabeth,Champion,Miss Katrina Champion,1-Jan-13,31-Dec-15,RGMS
1056517,CIA,5046677,5046677,Dr,Megha,,Kaushik,Dr Megha Kaushik,1-Jan-13,31-Dec-14,RGMS
1056457,CIA,5046681,5046681,Dr,Christopher,Xin Jie,Wong,Dr Christopher Wong,1-Jan-13,31-Dec-14,RGMS
1056577,CIA,5046685,5046685,Dr,Mun Sem,,Liew,Dr Mun Sem Liew,1-Jan-13,31-Dec-14,RGMS
1056511,CIA,5046687,5046687,Ms,Andreea,,Waltmann,Ms Andreea Waltmann,1-Jan-13,31-Dec-14,RGMS
1056551,CIA,5046697,5046697,Ms,Lisa,,Olive,Ms Lisa Olive,1-Jan-13,31-Mar-15,RGMS
1056587,CIA,5046698,5046698,Ms,Eleni,Andrea,Demetriou,Ms Eleni Demetriou,1-Sep-13,31-Aug-16,RGMS
1056277,CIB,5046701,5046701,Dr,Lucia,,Mori,Dr Lucia Mori,1-Jan-13,31-Dec-15,RGMS
1056633,CIA,5046702,5046702,Dr,Jamil,,Alayan,Dr Jamil Alayan,1-Jan-13,30-Sep-14,RGMS
