host,pattern
adelaide.edu.au,adelaide\\.edu\\.au/directory/
anu.edu.au,anu\\.edu\\.au/people/
anu.edu.au,anu\\.edu\\.au/researchers/
jcu.edu.au,research\\.jcu\\.edu\\.au/portfolio/
monash.edu.au,monash\\.edu\\.au/research/people/profiles/profile\\.html
sydney.edu.au,sydney\\.edu\\.au/vetscience/about/staff/profiles/
sydney.edu.au,sydney\\.edu\\.au/science/people/
unimelb.edu.au,findanexpert\\.unimelb\\.edu\\.au/display/person
uq.edu.au,researchers\\.uq\\.edu\\.au/researcher/
uwa.edu.au,socrates\\.uwa\\.edu\\.au/Staff/StaffProfile.aspx?Person=
uwa.edu.au,uwa\\.edu\\.au/people/
uwa.edu.au,ceb\\.uwa\\.edu\\.au/research/researchers/
anu.edu.au,borevitzlab\\.anu\\.edu\\.au/borevitz-lab-people/
uq.edu.au,uq\\.edu\\.au/sbms/staff
unsw.edu.au,bees\\.unsw\\.edu\\.au/[^/]+
uws.edu.au,uws\\.edu\\.au/hie/people/
deakin.edu.au,deakin\\.edu\\.au/research/admin/pubs/reports/database/dynamic/output/person/
deakin.edu.au,deakin\\.edu\\.au/profiles/
